time_msc	bid	ask	last	volume	buy
2026-02-20 10:03:00.001	41.5	41.11	40.79	4100	False
2026-02-20 10:03:00.001	41.5	41.11	40.79	4400	False
2026-02-20 10:03:00.001	41.5	41.11	40.79	500	False
2026-02-20 10:03:00.001	41.5	41.11	40.7	400	False
2026-02-20 10:03:00.001	41.5	41.11	40.61	100	False
2026-02-20 10:03:00.047	41.5	41.11	40.99	100	False
2026-02-20 10:03:00.050	41.5	41.11	40.63	200	False
2026-02-20 10:03:00.109	41.5	41.11	40.89	100	False
2026-02-20 10:03:00.109	41.5	41.11	40.9	200	False
2026-02-20 10:03:00.305	40.83	40.9	40.9	300	True
2026-02-20 10:03:00.972	40.83	40.9	40.83	600	False
2026-02-20 10:03:01.284	40.77	40.87	40.87	100	True
2026-02-20 10:03:01.284	40.77	40.87	40.89	1300	True
2026-02-20 10:03:01.284	40.77	40.87	40.9	600	True
2026-02-20 10:03:05.027	40.8	40.89	40.89	500	True
2026-02-20 10:03:05.181	40.8	40.89	40.89	100	True
2026-02-20 10:03:11.760	40.8	40.89	40.87	500	True
2026-02-20 10:03:11.760	40.8	40.89	40.88	1700	True
2026-02-20 10:03:11.760	40.8	40.89	40.89	1100	True
2026-02-20 10:03:11.761	40.8	40.89	40.87	300	True
2026-02-20 10:03:11.761	40.8	40.89	40.9	3000	True
2026-02-20 10:03:11.761	40.8	40.89	40.91	1200	True
2026-02-20 10:03:11.764	40.8	40.89	40.91	100	True
2026-02-20 10:03:11.764	40.8	40.89	40.92	800	True
2026-02-20 10:03:12.873	40.88	40.92	40.92	200	True
2026-02-20 10:03:12.874	40.88	40.92	40.94	400	True
2026-02-20 10:03:18.146	40.91	40.96	40.91	500	False
2026-02-20 10:03:18.149	40.91	40.96	40.91	500	False
2026-02-20 10:03:18.873	40.91	40.95	40.91	1500	False
2026-02-20 10:03:18.873	40.91	40.95	40.9	500	False
2026-02-20 10:03:20.663	40.9	40.95	40.95	100	True
2026-02-20 10:03:25.018	40.9	40.95	40.9	100	False
2026-02-20 10:03:36.533	40.9	40.94	40.9	400	False
2026-02-20 10:03:36.533	40.9	40.94	40.89	400	False
2026-02-20 10:03:44.725	40.89	40.94	40.89	500	False
2026-02-20 10:04:30.033	40.91	40.94	40.91	400	False
2026-02-20 10:04:40.775	40.91	40.94	40.91	200	False
2026-02-20 10:04:45.113	40.91	40.94	40.94	100	True
2026-02-20 10:04:49.374	40.92	40.94	40.92	500	False
2026-02-20 10:04:49.374	40.92	40.94	40.92	100	False
2026-02-20 10:04:49.387	40.92	40.94	40.91	800	False
2026-02-20 10:04:49.387	40.92	40.94	40.9	500	False
2026-02-20 10:04:57.656	40.89	40.92	40.89	2200	False
2026-02-20 10:04:58.694	40.89	40.91	40.91	1000	True
2026-02-20 10:04:59.925	40.89	40.91	40.91	1100	True
2026-02-20 10:05:08.643	40.91	40.94	40.91	400	False
2026-02-20 10:05:08.647	40.91	40.94	40.91	100	False
2026-02-20 10:05:08.653	40.91	40.94	40.91	600	False
2026-02-20 10:05:28.012	40.91	40.96	40.96	100	True
2026-02-20 10:05:34.510	40.93	40.98	40.94	300	True
2026-02-20 10:05:34.523	40.93	40.98	40.94	100	True
2026-02-20 10:05:34.523	40.93	40.98	40.93	100	False
2026-02-20 10:05:38.001	40.93	40.97	40.93	600	False
2026-02-20 10:05:38.003	40.93	40.97	40.93	900	False
2026-02-20 10:05:53.569	40.93	40.96	40.93	500	False
2026-02-20 10:05:53.611	40.93	40.96	40.95	100	True
2026-02-20 10:05:54.485	40.92	40.95	40.92	100	False
2026-02-20 10:05:54.485	40.92	40.95	40.92	400	False
2026-02-20 10:05:58.788	40.9	40.92	40.9	1000	False
2026-02-20 10:05:59.822	40.9	40.92	40.9	100	False
2026-02-20 10:06:00.064	40.89	40.92	40.89	4800	False
2026-02-20 10:06:00.064	40.89	40.92	40.89	100	False
2026-02-20 10:06:00.065	40.89	40.92	40.88	600	False
2026-02-20 10:06:00.604	40.87	40.89	40.87	400	False
2026-02-20 10:06:00.604	40.87	40.89	40.86	200	False
2026-02-20 10:06:00.631	40.87	40.89	40.88	100	True
2026-02-20 10:06:00.643	40.87	40.89	40.88	1800	True
2026-02-20 10:06:00.797	40.87	40.89	40.88	200	True
2026-02-20 10:06:00.810	40.87	40.89	40.89	300	True
2026-02-20 10:06:01.256	40.87	40.89	40.87	400	False
2026-02-20 10:06:01.256	40.87	40.89	40.86	100	False
2026-02-20 10:06:01.256	40.87	40.89	40.87	100	False
2026-02-20 10:06:03.320	40.85	40.88	40.85	700	False
2026-02-20 10:06:08.091	40.85	40.88	40.85	100	False
2026-02-20 10:06:21.452	40.85	40.88	40.88	100	True
2026-02-20 10:06:21.532	40.85	40.88	40.88	100	True
2026-02-20 10:06:25.970	40.86	40.88	40.88	100	True
2026-02-20 10:06:26.057	40.86	40.88	40.88	100	True
2026-02-20 10:06:28.117	40.87	40.88	40.87	100	False
2026-02-20 10:06:31.313	40.87	40.88	40.87	400	False
2026-02-20 10:06:31.316	40.87	40.88	40.86	500	False
2026-02-20 10:06:31.445	40.85	40.87	40.87	100	True
2026-02-20 10:06:31.509	40.85	40.87	40.87	100	True
2026-02-20 10:06:32.551	40.86	40.88	40.86	100	False
2026-02-20 10:06:32.553	40.86	40.88	40.86	400	False
2026-02-20 10:06:32.553	40.86	40.88	40.85	200	False
2026-02-20 10:06:32.569	40.86	40.88	40.86	100	False
2026-02-20 10:06:39.571	40.85	40.88	40.85	100	False
2026-02-20 10:06:39.571	40.85	40.88	40.85	100	False
2026-02-20 10:06:39.575	40.85	40.88	40.85	500	False
2026-02-20 10:06:40.951	40.85	40.88	40.85	200	False
2026-02-20 10:06:40.951	40.85	40.88	40.85	100	False
2026-02-20 10:06:40.956	40.85	40.88	40.85	200	False
2026-02-20 10:06:40.959	40.85	40.88	40.85	100	False
2026-02-20 10:06:43.120	40.85	40.88	40.88	100	True
2026-02-20 10:06:43.198	40.85	40.88	40.88	100	True
2026-02-20 10:06:59.247	40.86	40.89	40.86	400	False
2026-02-20 10:06:59.287	40.86	40.89	40.86	200	False
2026-02-20 10:07:00.462	40.86	40.89	40.86	100	False
2026-02-20 10:07:00.463	40.86	40.89	40.86	100	False
2026-02-20 10:07:00.463	40.86	40.89	40.86	400	False
2026-02-20 10:07:00.471	40.86	40.89	40.86	100	False
2026-02-20 10:07:13.396	40.86	40.89	40.86	100	False
2026-02-20 10:07:13.413	40.86	40.89	40.85	1400	False
2026-02-20 10:07:13.489	40.86	40.89	40.84	600	False
2026-02-20 10:07:14.293	40.83	40.86	40.85	100	True
2026-02-20 10:07:23.408	40.83	40.86	40.86	100	True
2026-02-20 10:07:27.758	40.83	40.87	40.83	800	False
2026-02-20 10:07:35.264	40.84	40.87	40.84	400	False
2026-02-20 10:07:35.277	40.84	40.87	40.84	400	False
2026-02-20 10:07:38.431	40.84	40.87	40.84	300	False
2026-02-20 10:07:38.431	40.84	40.87	40.84	100	False
2026-02-20 10:07:38.431	40.84	40.87	40.84	400	False
2026-02-20 10:07:38.598	40.84	40.87	40.84	300	False
2026-02-20 10:07:38.599	40.84	40.87	40.84	100	False
2026-02-20 10:07:39.981	40.83	40.87	40.83	800	False
2026-02-20 10:07:39.989	40.83	40.87	40.83	100	False
2026-02-20 10:07:47.693	40.82	40.86	40.82	700	False
2026-02-20 10:07:47.693	40.82	40.86	40.81	300	False
